Name	Unique?	 Length	Minimized1 Length	Unrolled length	Lossless?	Mirrored in Patterns?	Inverted in Patterns?	Flipped in Patterns?
1880-04-10_Ellsworth&#x27;s_Heart_Insertion	True	102	178	87	True	False	False	False
1880-06-12_Rockland_Edging	True	132	298	128	True	False	False	False
1880-06-19_Margaret&#x27;s_Scallop_Edging	True	123	158	84	True	False	False	False
1880-07-24_Home_Made_Ruche	True	35	182	35	True	False	False	False
1880-07-24_Old_Shale_Tidy	True	7	78	7	True	False	False	False
1880-07-24_Orrington_Lace	True	76	115	62	True	False	False	False
1880-07-31_Meda&#x27;s_Lace	True	108	357	105	True	False	False	False
1880-08-21_Edging_for_Dresses	True	241	550	217	True	False	False	False
1880-09-04_CBM&#x27;s_Lace	False	71	105	57	True	False	False	False
1880-09-11_Winthrop&#x27;s_Scallop_Lace	True	49	185	50	True	False	False	False
1880-10-16_Bells_Edging	True	60	97	61	True	False	False	False
1881-01-09_Aunt_Nora&#x27;s_Lace	True	57	97	41	True	False	False	False
1881-12-10_Cady&#x27;s_Normandy_Lace	True	158	277	144	True	False	False	False
1882-01-05_CER_Richmond_Tunisian_Lace	True	51	101	45	True	False	False	False
1882-01-26_Ella&#x27;s_Knit_Edging	True	127	232	87	True	False	False	False
1882_Lace_Edging	True	90	247	94	True	False	False	False
1883-08-09_Lizzie&#x27;s_Edging	True	29	43	29	True	False	False	False
1883-09-13_Madge&#x27;s_Narrow_Edging	True	12	18	12	True	False	False	False
1883-10-25_Border_for_Knitted_Quilt	True	54	113	54	True	False	False	False
1883-11-15_Openwork_Lace	True	104	182	94	True	False	False	False
1884-04-24_Dot&#x27;s_Narrow_Lace	True	27	37	23	True	False	False	False
1884-06-19_Lottie_and_Florrie&#x27;s_Edging	True	31	94	31	True	False	False	False
1884_Narrow_Edging_2	True	37	51	37	True	False	False	False
1884_Seed_Point_Lace_Edging	True	90	228	90	True	False	False	False
1884_Torchon_Edge	True	38	58	38	True	False	False	False
1885-02-05_Abbie_Hardy&#x27;s_Edging	True	23	40	23	True	False	False	False
1885-04-02_Mrs_Akers_Lace	True	90	231	88	True	False	False	False
1885-04-16_Ines_Ridley&#x27;s_Edging	True	30	54	27	True	False	False	False
1885-04-16_Isabella_Lace	True	19	29	11	True	False	False	False
1885-06-04_Mrs_Akers_Smyrna_Insertion	True	126	414	126	True	False	False	False
1885-06-04_Mrs_Akers_Smyrna_Lace	True	196	583	172	True	False	False	False
1885-06-04_Sadie_E_A_solid_point_lace	False	55	155	43	True	False	False	False
1885-06-04_Solid_Point_Lace	False	55	155	43	True	False	False	False
1885-06-04_Sylvania_Edging	True	57	126	47	True	False	False	False
1885-06-11_Wheat_Ear_Edging	True	30	55	30	True	False	False	False
1885-06-25_Herringbone_Edge	False	213	409	106	True	False	False	False
1885-06-25_Herringbone_Edge_v2	False	213	409	106	True	False	False	False
1885-07-09_Pussy_Willow&#x27;s_Wide_Lace	True	298	824	228	True	False	False	False
1885-08-06_Myrna_Dodge_New_Castle_torchon_lace	True	74	115	60	True	False	False	False
1885-09-10_Etha&#x27;s_Collar	True	101	433	101	True	False	False	False
1885-11-05_Hannie_Tompkin&#x27;s_Narrow_Edge	True	31	54	27	True	False	False	False
1885-12-03_Shell_Work_Mittens	False	100	315	18	True	False	False	False
1886-04-08_Lucy_Wasson_West_Brooksville_lace	True	94	177	94	True	False	False	False
1886-09-23_Saratoga_Lace	True	120	247	110	True	False	False	False
1887-04-14_Ina&#x27;s_Narrow_Edging	True	22	35	19	True	False	False	False
1887_Boston_Globe_Knitted_Dish_Cover	True	13	13	13	True	False	False	True
1888-01-19_Bessie&#x27;s_Lace	False	92	137	87	True	False	False	False
1888-03-22_May&#x27;s_shell_lace	True	100	220	88	True	False	False	False
1888-07-05_Nellie&#x27;s_Lace_Edging	True	192	357	135	True	False	False	False
1888-07-19_Nettie&#x27;s_Narrow_Edging	True	23	40	23	True	False	False	False
1888-07-19_Nettie&#x27;s_Shell_Edging	True	87	402	84	True	False	False	False
1888-11-08_Circle_Edging	True	131	290	118	True	False	False	False
1889-04-11_Ethel_K_Cox_scroll_leaf	True	124	296	125	True	False	False	False
1890-07-10_Nellie_Hughs&#x27;_Lace	True	40	67	26	True	False	False	False
1892-05-12_May_Lace	True	91	166	41	True	False	False	False
1893-04-27_Daisy&#x27;s_Lace	True	32	120	37	True	False	False	False
1894-03-01_Shell_Work	False	100	315	18	True	False	False	False
1894-07-12_Stella&#x27;s_Lace	True	25	55	23	True	False	False	False
1894-12-13_Crosby&#x27;s_Edging	True	47	95	43	True	False	False	False
1898-04-07_Narrow_Leaf_Lace	True	43	61	33	True	False	False	False
1908_clwl	True	45	53	45	True	False	False	False
1908_clwlc_2_0	True	117	153	105	True	False	False	False
1908_clwlc_3_1	True	139	185	125	True	False	False	False
1908_clwlc_sbs	True	94	101	94	True	False	False	False
1908_clwlc_sigle_wavy	True	39	47	39	True	False	False	False
1908_clwlc_single_wavy__2	True	38	46	38	True	False	False	False
1908_cyn_1a	True	102	133	96	True	False	False	False
1908_cyn_4	True	78	83	78	True	False	False	False
1908_jumble_2	True	94	94	94	True	False	False	False
1908_single_reverse_single_2	True	77	85	77	True	False	False	False
1908_wil_1_0	True	37	37	37	True	False	False	False
1917_Norwich_Bulletin_Knitted_yoke	True	292	684	267	True	False	False	False
1923_Lily_of_the_Valley_2	True	207	576	207	True	False	False	False
1936_Lace	True	44	44	44	True	False	False	False
1st_rep	True	13	14	13	True	False	False	False
1x1_rib_variation	True	241	293	239	True	False	False	False
1_10	True	52	98	34	True	True	False	True
1_2	True	3	3	3	True	False	False	False
1_3	True	15	19	15	True	False	False	False
1_4	True	224	224	12	True	False	False	False
1_5	True	304	505	284	True	False	False	False
1_6	True	40	50	36	True	False	False	False
1_7	True	110	350	110	True	False	False	False
1_8	True	8	367	8	True	False	False	True
1_9	True	3	3	3	True	False	False	False
1_sq	True	90	962	90	True	True	False	True
1_x_7	True	12	12	12	True	False	False	False
2	True	21	24	21	True	False	False	False
200-year-old_Easy_Zig-Zag_Lace	True	18	18	18	True	False	False	False
2015	True	37	37	37	True	False	False	False
2016	True	62	62	62	True	True	False	False
2017	True	35	35	35	True	False	False	False
201805070016	True	315	918	163	True	False	False	False
20180527-1630	True	337	782	257	True	False	False	False
2019	True	32	32	32	True	False	False	False
20191102	True	10	80	11	True	False	False	True
2022	True	20	20	20	True	False	False	False
20220108	True	104	913	78	True	False	False	False
20220109	True	74	242	57	True	False	False	False
20220116	True	59	547	59	True	False	False	False
20220116_1	True	66	170	63	True	False	False	False
2023-2	True	3	3	3	True	True	False	True
2023-3	True	28	28	28	True	False	False	False
2023	True	47	61	47	True	False	False	False
21,_with_the_row_row_row_in_the_round_(copy)_debug	True	142	220	130	True	False	False	False
21,_with_the_row_row_row_in_the_round_(copy)_debug_2	True	150	183	123	True	False	False	False
219-10	True	118	762	95	True	False	False	True
222_Braided_Cable	True	19	22	19	True	False	False	False
24_segment_circle,_one_twelfth,_part_2	True	16	91	16	True	False	False	True
24_segment_circle,_part_3	True	20	273	20	True	False	False	True
24_segment_circle,_start	True	14	137	14	True	False	False	True
24_segment_circle	True	14	269	14	True	False	False	True
260_Knitting_Patterns_chart_29	True	206	378	106	True	True	False	False
260_Knitting_Patterns_chart_33	True	44	50	38	True	False	False	False
260_Knitting_Patterns_Chart_37	True	202	202	202	True	False	False	False
260_Knitting_Patterns_Chart_37_(variation)	True	108	108	108	True	False	False	False
260_Knitting_Patterns_Chart_40	True	153	185	151	True	False	False	False
260_Knitting_Patterns_chart_42	True	401	439	401	True	False	False	False
260_Knitting_Patterns_Chart_50_(partial)	True	44	44	22	True	False	False	False
260_Knitting_Patterns_chart_60	True	49	49	49	True	False	False	False
260_Knitting_Patterns_chart_66	True	292	660	280	True	True	False	False
28_Row_Daphne	True	294	858	286	True	False	False	False
28_Row_Sand_Vine_main	True	268	858	260	True	False	False	False
28_sock_test	True	37	73	37	True	False	False	False
293	True	374	691	334	True	False	False	False
2farbiges_Muster	True	8	8	8	True	False	False	True
2sts-iCord_on_garter	True	17	74	17	True	False	False	False
2x2_cowl	True	19	56	19	True	False	False	False
2_Color_Garter,_SPN_1	True	4	4	4	True	True	False	True
2_Color_Garter,_SPN_2	True	4	4	4	True	True	False	True
2_Color_Garter2,_Sl_1	False	2	2	2	True	True	False	True
2_segments_of_6_segment_circle	True	77	1353	127	True	True	False	True
2_sq	True	142	2584	102	True	True	False	True
2_stitch_wide_Honeycomb_(closed_O_cables)	True	14	14	10	True	True	False	False
2_x_2_ribbing_increase	True	51	76	47	True	True	False	False
3-1_ribbing	True	6	10	6	True	False	False	False
3-petaled_flower_field_(repeat_only)	True	53	53	53	True	False	False	False
32_34_sleeve_original	True	425	1764	337	True	False	False	False
32_34_sleeve_v2	True	355	1750	347	True	False	False	False
333_Braided_Cable	True	28	100	24	True	True	False	False
33_Left_cross	True	28	51	28	True	False	False	False
34_circle_shawl_with_incremental_increases	True	194	218	194	True	False	False	False
3D-Schal_1	True	110	172	110	True	False	False	False
3D-Schal_2	True	126	216	126	True	False	False	False
3D-Schal_3	True	96	188	96	True	False	False	False
3D-Schal_4	True	122	218	122	True	False	False	False
3D-Schrumpel-Schlauch	True	6	6	6	True	False	False	True
3D	True	55	55	55	True	False	False	False
3D_wide_bubble_like_stitch	True	90	1440	86	True	False	False	True
3petal_flowers_triangular	True	157	257	99	True	False	False	False
3x1_rib_decrease_100_stitches_in_round	True	64	162	64	True	False	False	False
3x1_rib_hat_top	True	46	46	46	True	False	False	False
3x3_spiral_rib	True	108	1265	96	True	False	False	False
3_Leaves_on_Start_WIP	True	423	643	328	True	True	False	False
3_over_4_triangle_shawl_shape	True	57	189	57	True	True	False	True
3_sq	True	69	365	47	True	True	False	True
3_to_7_Gather	True	9	13	9	True	True	False	False
3_x_1_slip_stitch_rib	True	3	3	3	True	False	False	True
45-55	True	93	141	73	True	False	False	False
48	True	14	20	14	True	False	False	False
48st_raglan	True	92	528	92	True	False	False	False
4U587	True	331	606	302	True	False	False	False
4_quarter_heel_and_toe_for_80_st_sock	True	60	238	60	True	False	False	False
4_quarter_toe_80_sts_(half_the_pattern)	True	37	37	37	True	False	False	False
4_quarter_toe_with_gusset_80_sts	True	64	235	64	True	False	False	False
5-petal_flower	True	44	84	38	True	False	False	False
5161564	True	33	33	8	True	False	False	False
5_hour_set-_bonnet	True	8	9	8	True	False	False	False
5_Leaves_on_Start_v2_WIP	True	799	1321	378	True	True	False	False
5_Leaves_on_Start_WIP	True	742	1132	360	True	True	False	False
5_Start_Large_Lacey_Leaves_WIP	True	1217	2587	334	True	True	False	False
5_to_3_Bunny_Ears_Front_Decrease	True	7	13	7	True	True	False	True
6&quot;_Doily	True	169	393	171	True	False	False	False
6107	False	643	1131	619	True	False	False	False
6107_2	False	643	1131	619	True	False	False	False
67_stitch_herringbone	True	7	67	7	True	False	False	False
6x8	True	19	19	19	True	False	False	False
6_p	True	100	2296	100	True	False	False	False
6_segment_circlehexagon	True	8	55	8	True	True	False	True
6_stitch_wide_diamond	True	23	23	23	True	True	False	False
6_to_33_cable	True	79	141	50	True	False	False	False
7-sts-flame_garter_version	True	87	91	87	True	False	False	False
7-sts-flame_garter_version_with_border	True	131	230	129	True	False	False	False
7-sts-leaf	True	78	80	78	True	False	False	False
7-sts-leaf_with_border	True	118	182	114	True	False	False	False
72_st_gusset_and_4_square_heel	True	50	175	50	True	False	False	False
7_stitch_single_decrease_razor_shell	True	8	8	8	True	True	False	False
8&quot;_Doily	True	257	737	257	True	False	False	False
8-row_eyelets	True	22	25	22	True	False	False	False
8-sts-leaf-counterpane-Version	True	31	31	31	True	False	False	False
8-sts-leaf	True	98	158	98	True	False	False	False
8-sts-leaf_(copy)	True	81	129	81	True	False	False	False
8_by_6	True	23	23	23	True	True	False	False
8_increases_garter	True	28	28	21	True	False	False	True
8_increase_wedge_crescent	True	248	1006	123	True	True	False	True
8_row_mesh	True	55	92	49	True	False	False	False
8_segment_circle	True	15	209	17	True	True	False	True
8_stitch_wide_diamond_bobble	True	30	30	30	True	False	False	False
9_stitches	True	39	53	39	True	False	False	False
9_stitch_plaited__braided_cable	True	6	10	6	True	False	False	False
a	True	6	21	6	True	False	False	False
A1	True	208	3786	171	True	False	False	False
a2	True	45	83	39	True	True	False	False
A2_-_Hell_Strophe	True	69	1738	69	True	False	False	True
a3	True	54	168	54	True	True	False	False
a3_2	True	265	2167	265	True	False	False	True
a3_3	True	53	129	49	True	False	False	False
aa	False	17	17	17	True	False	False	False
aaa	True	22	261	26	True	False	False	True
aaa_2	True	6	6	6	True	False	False	True
aaepitsi_kiri_6	True	265	425	207	True	False	False	False
aallot_pitsi	True	134	134	134	True	False	False	False
Abaris_Point_Edging,_revised	True	70	112	70	True	False	False	False
Abaris_Point_Edging	True	130	331	115	True	False	False	False
Abbreviated_pi	True	118	191	118	True	False	False	False
Abby	True	63	63	63	True	False	False	False
ABCD	True	44	168	66	True	False	False	False
ABG_1	True	22	22	22	True	True	False	True
ABG_14	True	22	22	22	True	False	False	False
ABG_19	True	22	22	22	True	False	False	True
ABG_2	True	16	16	16	True	True	False	True
ABG_20	True	25	25	25	True	False	False	True
ABG_21	True	28	28	28	True	False	False	False
ABG_22	True	24	24	24	True	True	False	True
ABG_24	True	7	13	7	True	False	False	False
ABG_26	True	15	21	15	True	False	False	False
ABG_27	True	14	14	14	True	True	False	True
ABG_28	True	6	6	6	True	True	False	True
ABG_29	True	8	8	8	True	True	False	True
ABG_3	True	10	10	10	True	False	False	True
ABG_4	True	23	25	23	True	False	False	False
ABG_5	True	56	76	56	True	False	False	False
ABG_6	True	8	8	8	True	True	False	True
ABG_8	True	22	22	22	True	True	False	True
ABG_9	True	22	22	22	True	True	False	True
Abnehmen	True	6	69	5	True	False	False	False
Abomination	True	63	120	47	True	False	False	True
Abotanicity	True	10	42	10	True	False	False	False
Abotanicity_2	True	53	126	50	True	False	False	False
Abotanicity_3	True	32	84	32	True	False	False	False
Abotanicity_4	True	9	21	9	True	False	False	False
Abotanicity_5	True	19	63	19	True	False	False	False
Abotanicity_6	True	19	63	19	True	False	False	False
Abotanicity_7	True	41	105	41	True	False	False	False
Abotanicity_8	True	66	147	63	True	False	False	False
ABS	True	126	626	124	True	False	False	False
Abstract_lace	True	34	37	34	True	False	False	False
Acadia	True	25	27	25	True	False	False	False
accent_cable	True	15	37	15	True	False	False	False
Accordion	True	10	18	10	True	False	False	False
Ackerfurchen	True	4	4	4	True	False	False	True
Acorn	True	36	48	36	True	False	False	False
Acorns_and_diamonds	True	43	43	43	True	True	False	False
Acorn_3A	True	24	34	24	True	False	False	False
Acorn_3B	True	24	34	24	True	False	False	False
Acorn_and_Lace_left_border	True	349	905	349	True	False	False	False
Acorn_and_Lace_right_border	True	361	968	357	True	False	False	False
Acorn_blanket	True	70	142	70	True	False	False	False
Acorn_insert	True	47	55	27	True	False	False	False
Acorn_Stitch	True	69	69	69	True	False	False	False
Acorn_stitch_border_section	True	17	21	17	True	False	False	False
Acorn_variation	True	36	48	36	True	False	False	False
Acre,_version_1	True	44	44	44	True	False	False	False
Acre,_version_2	True	173	228	173	True	False	False	False
adams_lace	True	291	291	291	True	False	False	False
Adapted_Hat	True	457	731	393	True	False	False	False
Adding_Rib_4x4_in_Inv_St_St	True	18	129	17	True	False	False	False
Adobe	True	33	33	33	True	False	False	False
Adobe_2	True	26	26	26	True	False	False	False
Adobe_cable	True	35	35	35	True	False	False	False
Adrift	True	16	17	16	True	False	False	False
Adrift_2	True	26	26	26	True	False	False	False
Adrift_3	True	23	23	23	True	True	False	False
Adrift_4	True	31	31	31	True	True	False	False
Adventszopf	True	27	32	27	True	False	False	False
Adventszopf_2	True	29	39	29	True	False	False	False
Advent_Calendar_Scarf_2013_-_Day_1	False	15	15	15	True	True	False	False
Advent_Calendar_Scarf_2013_-_Day_2	True	63	72	63	True	False	False	False
Advent_Calendar_Scarf_2013_-_Day_2_(narrower)	True	63	63	63	True	False	False	False
Advent_Calendar_Scarf_2013_-_Day_3	True	100	133	97	True	False	False	False
Advent_Calendar_Scarf_2013_-_Day_4	True	53	78	53	True	False	False	False
Advent_Calendar_Scarf_2013_-_Day_5	True	37	37	37	True	False	False	False
Advent_Calendar_Scarf_2013_-_Day_7	True	16	16	16	True	False	False	False
Advent_Calendar_Scarf_2013_-_Spacer	True	9	9	9	True	False	False	False
AD_test	True	120	358	104	True	False	False	False
Agave_leaves	True	121	164	121	True	False	False	False
Agave_leaves_in_rounds	True	49	49	49	True	False	False	False
AGB_18	True	32	36	32	True	False	False	False
AGB_18A	True	16	18	16	True	False	False	False
Agosto	True	28	31	28	True	False	False	False
Agosto_2	True	53	53	53	True	False	False	False
Agosto_4	True	38	39	38	True	False	False	False
Airport	True	6	8	6	True	False	False	False
AI_weirdness_birds_stitch	True	365	365	365	True	False	False	False
aj001	True	42	42	42	True	False	False	False
AJ003	True	18	18	18	True	False	False	False
Ajour	True	154	193	39	True	True	False	False
Ajourmuster-Insert	True	34	41	34	True	False	False	False
Ajourmuster-Rippen	True	33	33	33	True	False	False	False
Ajourmuster	True	37	51	37	True	False	False	False
Ajourmusterspalte	True	17	20	17	True	False	False	False
Ajourmuster_2	True	34	41	34	True	False	False	False
Ajourmuster_3	True	11	11	11	True	False	False	False
Ajourmuster_4	True	17	22	17	True	False	False	False
Ajourmuster_5	True	24	29	22	True	False	False	False
Ajourmuster_6	True	44	44	44	True	False	False	False
Ajourmuster_7	True	66	66	66	True	False	False	False
Ajourmuster_8	True	60	60	60	True	False	False	False
Ajourmuster_R08	True	14	14	14	True	False	False	False
Ajour_01	True	20	34	20	True	True	False	False
Ajour_02_(WIP)	True	26	30	20	True	False	False	False
Ajour_2	True	81	81	81	True	False	False	False
Ajour_Branches	True	29	29	29	True	False	False	False
Alabaster	True	32	32	32	True	False	False	False
Alder_Leaf	True	191	191	191	True	False	False	False
Alex	True	10	72	8	True	False	False	True
Alex_2	True	23	144	21	True	False	False	False
Alex_3	True	18	108	17	True	False	False	False
Alice&#x27;s_Edge	True	23	23	23	True	False	False	False
Alice&#x27;s_Roses	True	118	118	118	True	False	False	False
Alice	True	17	17	17	True	False	False	False
Alice_Pattern	True	15	15	15	True	False	False	False
Aligned_parentheses	True	4	4	4	True	False	False	False
Alistair&#x27;s_Rose	True	44	68	44	True	False	False	False
Allium	True	51	51	51	True	False	False	False
Allium_2	True	65	65	65	True	False	False	False
Allover_lace,_originally_used_for_a_blouse_	True	76	76	76	True	False	False	False
Allover_lace_1	True	32	37	24	True	True	False	False
Allumette	True	37	37	37	True	False	False	False
All_over_lace_1	True	75	115	43	True	False	False	False
all_together_now	True	834	1389	731	True	False	False	False
Alpaca_lace	True	52	52	52	True	True	False	False
Alpine_Lace_Scarf-Diamond_Border	True	98	162	86	True	False	False	False
Alpine_Lace_Scarf-_Rose_leaf_center	True	68	124	60	True	False	False	False
Alsacian_Scallop	True	64	74	64	True	False	False	False
Alsacian_Scallops	True	64	74	64	True	False	False	False
Alsacian_Scallops_sitch	True	64	74	64	True	False	False	False
Altenating_increase_and_decrease	True	80	80	64	True	False	False	False
Alternate_leaves	True	312	412	312	True	False	False	False
Alternating_curves	True	30	30	30	True	False	False	False
Alternating_curves_2	True	48	48	48	True	False	False	False
Alternating_curves_3	True	49	49	49	True	False	False	False
Alternating_curves_4	True	27	27	27	True	False	False	False
Alternating_Feather_Stitch	True	15	15	15	True	False	False	False
Alternating_leaves	True	136	204	136	True	False	False	False
Alternating_rib	True	14	14	14	True	True	False	True
Alternating_ribs	True	11	15	11	True	False	False	False
Alternating_Tuck_Scales	True	105	141	105	True	False	False	False
Alternating_Wheat_Ears_-_pattern_on_odd_rows_only	True	68	84	68	True	False	False	False
Alternative_Triangle_shawl_shape	True	68	252	68	True	False	False	True
Aluspaita	True	62	999	64	True	False	False	False
Amazing_Grace	True	51	90	42	True	False	False	False
amber	True	200	263	200	True	False	False	False
Amber_waves	True	41	41	41	True	False	False	False
Amber_waves_2	True	41	41	41	True	False	False	False
AMC_practice	True	12	12	12	True	False	False	True
Amphora	True	37	37	37	True	False	False	False
Amsterdam	True	12	136	11	True	False	False	False
Anchor	True	299	1767	297	True	False	False	False
Andy_Crichton-Smith	False	213	561	140	True	False	False	True
Angela	True	39	39	39	True	False	False	False
Angelfish	True	170	170	170	True	False	False	False
Angel_2	True	27	27	27	True	False	False	False
Angel_Wings	True	237	688	235	True	False	False	False
Angel_Wings_2	True	474	1376	445	True	False	False	False
Angles	True	27	27	27	True	False	False	True
Angles_(Polygon)	True	125	125	125	True	False	False	False
Angles_(WIP_1)	True	70	132	48	True	False	False	False
Angles_(WIP_2)	True	108	355	97	True	False	False	False
Angles_and_waves	True	15	15	15	True	False	False	False
Angles_and_waves_2	True	33	39	33	True	False	False	False
Angles_and_waves_3	True	64	84	64	True	False	False	False
Angles_and_waves_4	True	27	27	27	True	False	False	False
Angles_and_waves_5	True	51	51	51	True	False	False	False
Angular_shawl	True	17	20	17	True	False	False	False
Annis	True	176	226	172	True	False	False	False
another_edging_experiment	True	67	250	57	True	False	False	False
Another_Leaf_Pattern	True	126	126	126	True	False	False	False
another_one	False	246	246	246	True	False	False	False
Another_Pretty_Pattern_for_a_Knit_Purse	True	13	13	13	True	False	False	False
another_test	True	82	204	55	True	False	False	False
another_travelling_vine	True	94	182	82	True	False	False	False
Ant&#x27;s_path	True	8	12	8	True	False	False	False
Antique_Diamond_Pattern	True	83	103	82	True	False	False	False
Antique_Diamond_Pattern_2	True	61	61	61	True	False	False	False
Antique_Edging,_v2	True	84	123	82	True	False	False	False
Antique_Edging	True	81	125	77	True	False	False	False
Antlers	True	47	126	45	True	True	False	False
antler_adaptation	True	5	52	5	True	False	False	True
Ant_egg_stitch	True	8	8	8	True	False	False	True
AnyWay_Lace_Pattern	True	39	63	21	True	True	False	False
anyway_rib	True	101	156	101	True	False	False	False
an_almost_lost_washcloth	True	20	70	20	True	False	False	False
An_experiment	True	154	586	122	True	False	False	False
Apennine_edging	True	9	207	9	True	False	False	False
Apple_Leaf_1	True	59	59	59	True	False	False	False
Apple_Leaf_2	True	56	56	56	True	False	False	False
Apple_Valley	True	26	26	26	True	False	False	False
Apple_Valley_2	True	41	41	41	True	False	False	False
Apple_Valley_3	True	38	38	38	True	False	False	False
Aquaduct	True	31	34	31	True	False	False	False
Aquaduct_2	True	12	12	12	True	True	False	True
Arabella_shawl	True	58	2314	58	True	False	False	False
Aramis	False	7	7	7	True	False	False	True
aran1	True	473	1319	424	True	False	False	False
Aran_-_cable_(wip)	True	137	349	112	True	False	False	False
Aran_-_intricate_cable	True	369	1133	328	True	False	False	False
Aran_Cable_Scarf	True	80	144	72	True	True	False	False
Aran_centre_panel	True	188	655	179	True	False	False	False
Aran_Lattice_Cable	True	26	36	26	True	False	False	False
Aran_long_cable	True	13	23	13	True	False	False	False
Aran_panel_-_filled_diamonds	True	126	329	126	True	False	False	False
Aran_Rhombus_Pattern_(narrow)	True	149	149	52	True	False	False	False
Aran_Tree	True	56	82	40	True	False	False	True
Arbor_Celestial_Blanket	True	119	199	127	True	False	False	False
Arbor_Lace	True	83	83	83	True	False	False	False
Arbor_shawl	True	106	106	106	True	False	False	False
Arch	True	137	336	121	True	False	False	False
Arches	True	52	52	52	True	False	False	True
Arches_(round)	True	284	360	206	True	False	False	False
Arches_3	True	32	32	32	True	False	False	False
arches_minus_columns	True	62	94	47	True	False	False	False
architectural	True	131	248	111	True	False	False	False
ARC_SHAWL_-_BASIC	True	60	75	60	True	False	False	False
Argyle	True	121	334	146	True	False	False	False
Aria_Delicato	True	71	195	55	True	False	False	False
Arisaig_Lace	True	43	43	43	True	False	False	False
Armhole_math	True	8	8	8	True	False	False	False
Armhole_math_2	True	8	8	8	True	False	False	False
Armhole_shaping_for_F&amp;F_Variation	True	59	76	59	True	False	False	False
arm_lace	True	45	45	45	True	True	False	False
Arr	True	55	66	55	True	False	False	False
Arrowheads	True	97	157	97	True	False	False	False
Arrowhead_Lace	True	65	65	65	True	False	False	False
Arrowhead_Lace_2	True	54	66	54	True	False	False	False
Arrowhead_Lace_combination_3	True	229	229	229	True	False	False	False
